Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "BME680_Breakout.brd" as of: 3/30/17 10:33 AM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.780,0.900,0
C2,Top,0.890,0.800,270
C3,Top,0.630,0.610,270
C4,Top,1.250,0.250,180
C5,Top,1.130,0.380,270
D1,Top,0.600,0.300,270
D2,Top,0.280,0.440,0
F1,Top,0.400,0.300,0
R1,Top,0.950,0.260,180
R2,Top,0.840,0.360,180
R3,Top,0.510,0.570,180
R4,Top,1.050,0.690,180
R5,Top,0.555,0.725,90
R6,Top,0.600,0.440,270
R7,Top,0.860,0.610,270
SJ1,Top,1.135,0.530,0
SJ2,Top,0.210,0.325,0
SJ3,Top,1.330,0.340,180
SJ4,Top,0.820,0.270,0
SJ5,Top,0.680,0.270,180
SJ6,Top,0.940,0.690,0
SJ7,Top,0.650,0.740,180
TP1,Top,0.920,0.320,0
TP2,Top,0.920,0.440,0
TP3,Top,0.460,0.480,0
TP4,Top,0.300,0.190,0
U1,Top,0.780,0.790,270
U4,Top,0.750,0.560,0
U8,Top,1.330,0.480,0
